    Snapshot	T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	
       1	                     46.9	          -21.9	          101.1	                 3.8
       1	                     46.9	          -27.7	          106.9	                 3.5
       1	                     46.9	          -33.6	          112.8	                 0.2
       1	                     46.9	          -35.7	          114.9	                 0.3
       1	                     46.9	          -34.9	          114.1	                 2.7
       1	                     46.9	          -38.1	          117.3	                 6.8
       1	                     46.9	          -38.3	          117.5	                11.2
       1	                     46.9	          -46.7	          125.9	                34.1
       1	                     46.9	          -37.3	          116.6	                 3.8
       1	                     46.9	          -42.8	          122.0	                 8.3
       1	                     46.9	          -34.8	          114.0	                11.0
       1	                     46.9	          -37.2	          116.4	                 1.3
       1	                     46.9	          -40.7	          119.9	                 7.2
       1	                     46.9	          -35.9	          115.2	                 5.9
       1	                     46.9	          -44.7	          124.0	                 6.0
       1	                     46.9	          -46.7	          125.9	                23.7
       1	                     46.9	          -45.1	          124.3	                 4.7
       1	                     46.9	          -29.1	          108.3	                12.6
       1	                     46.9	          -33.9	          113.1	                43.8
       1	                     46.9	          -45.9	          125.1	                34.5
       1	                     46.9	          -42.7	          121.9	                36.9
       1	                     46.9	          -43.8	          123.0	                36.1
       1	                     46.9	          -44.4	          123.6	                11.4
       1	                     46.9	          -47.2	          126.4	                34.5
       1	                     46.9	          -28.7	          107.9	                 6.1
       1	                     46.9	          -49.0	          128.2	                14.6
       1	                     46.9	          -45.9	          125.1	                48.8
       1	                     46.9	          -52.6	          131.8	                36.3
       1	                     46.9	          -56.6	          135.8	                59.2
       1	                     46.9	          -45.4	          124.6	                26.5
       1	                     46.9	          -51.9	          131.2	                15.4
       1	                     46.9	          -56.2	          135.4	                28.4
       1	                     46.9	          -36.4	          115.6	                 8.3
       1	                     46.9	          -30.3	          109.5	                 7.4
       1	                     46.9	          -60.9	          140.1	                74.1
       1	                     46.9	          -63.2	          142.5	                80.8
       1	                     46.9	          -53.3	          132.5	                51.9
       1	                     46.9	          -62.8	          142.0	               107.9
       1	                     46.9	          -62.0	          141.2	                59.0
       1	                     46.9	          -57.5	          136.8	                94.4
       1	                     46.9	          -60.0	          139.2	                49.4
       1	                     46.9	          -60.5	          139.7	                81.3
       1	                     46.9	          -61.7	          140.9	                87.6
       1	                     46.9	          -62.6	          141.8	                68.5
       1	                     46.9	          -64.7	          143.9	                95.0
       1	                     46.9	          -28.0	          107.2	                 5.7
       1	                     46.9	          -57.5	          136.7	                50.2
       1	                     46.9	          -63.9	          143.1	                93.0
       1	                     46.9	          -46.6	          125.8	                28.9
       1	                     46.9	          -58.1	          137.3	                23.0
       1	                     46.9	          -34.7	          113.9	                15.9
       1	                     46.9	          -39.1	          118.3	                 6.2
       1	                     46.9	          -29.3	          108.5	                11.4
       1	                     46.9	          -65.0	          144.2	                40.4
       1	                     46.9	          -55.8	          135.0	                44.8
       1	                     46.9	          -70.0	          149.2	                37.1
       1	                     46.9	          -43.2	          122.4	                17.9
       1	                     46.9	          -66.8	          146.1	                86.0
       1	                     46.9	          -50.1	          129.3	                 9.5
       1	                     46.9	          -52.3	          131.5	                16.7
       1	                     46.9	          -64.3	          143.5	                27.2
       1	                     46.9	          -29.7	          108.9	                 9.7
